Depth,K
m,%
743.12,0.381038
743.22,0.350647
743.32,0.353275
743.42,0.409992
743.52,0.528479
743.62,0.697233
743.72,0.884949
743.82,1.04975
743.92,1.167
744.02,1.23165
744.12,1.24526
744.22,1.21371
744.32,1.14583
744.42,1.04328
744.52,0.915776
744.62,0.787256
744.72,0.683223
744.82,0.618276
744.92,0.598102
745.02,0.611006
745.12,0.640327
745.22,0.677249
745.32,0.709145
745.42,0.7182
745.52,0.698352
745.62,0.656487
745.72,0.612255
745.82,0.592537
745.92,0.615658
746.02,0.673016
746.12,0.732481
746.22,0.755548
746.32,0.725543
746.42,0.654726
746.52,0.576638
746.62,0.526159
746.72,0.521263
746.82,0.552922
746.92,0.597212
747.02,0.634615
747.12,0.680811
747.22,0.774855
747.32,0.947823
747.42,1.18641
747.52,1.43183
747.62,1.61145
747.72,1.6663
747.82,1.59032
747.92,1.43411
748.02,1.26167
748.12,1.11902
748.22,1.01631
748.32,0.940945
748.42,0.877117
748.52,0.82467
748.62,0.793087
748.72,0.78293
748.82,0.790969
748.92,0.802178
749.02,0.801144
749.12,0.789279
749.22,0.776745
749.32,0.771084
749.42,0.769525
749.52,0.768764
749.62,0.7668
749.72,0.768317
749.82,0.796051
749.92,0.867665
750.02,0.985784
750.12,1.12629
750.22,1.24819
750.32,1.32556
750.42,1.36245
750.52,1.37107
750.62,1.35741
750.72,1.3122
750.82,1.21875
750.92,1.07315
751.02,0.906494
751.12,0.772013
751.22,0.720847
751.32,0.767705
751.42,0.890657
751.52,1.04938
751.62,1.20779
751.72,1.33956
751.82,1.43847
751.92,1.51254
752.02,1.57248
752.12,1.62209
752.22,1.65337
752.32,1.65267
752.42,1.61171
752.52,1.5254
752.62,1.38722
752.72,1.20778
752.82,1.01751
752.92,0.834996
753.02,0.674016
753.12,0.552493
753.22,0.48797
753.32,0.485936
753.42,0.523807
753.52,0.570926
753.62,0.609946
753.72,0.644462
753.82,0.691866
753.92,0.772078
754.02,0.898414
754.12,1.06938
754.22,1.2651
754.32,1.44515
754.42,1.56807
754.52,1.61026
754.62,1.56387
754.72,1.434
754.82,1.25084
754.92,1.05627
755.02,0.883575
755.12,0.748629
755.22,0.655533
755.32,0.592977
755.42,0.5475
755.52,0.516151
755.62,0.503965
755.72,0.521394
755.82,0.592549
755.92,0.754924
756.02,1.02746
756.12,1.38517
756.22,1.76226
756.32,2.0487
756.42,2.11976
756.52,1.93261
756.62,1.5509
756.72,1.11125
756.82,0.766086
756.92,0.610771
757.02,0.635948
757.12,0.755714
757.22,0.880336
757.32,0.953856
757.42,0.972532
757.52,0.999195
757.62,1.09261
757.72,1.26967
757.82,1.50235
757.92,1.72691
758.02,1.89323
758.12,1.98102
758.22,1.98895
758.32,1.92873
758.42,1.81347
758.52,1.65925
758.62,1.47266
758.72,1.26205
758.82,1.05936
758.92,0.908082
759.02,0.838712
759.12,0.836589
759.22,0.868182
759.32,0.915991
759.42,0.971847
759.52,1.02715
759.62,1.07246
759.72,1.10272
759.82,1.12793
759.92,1.16328
760.02,1.2116
760.12,1.26007
760.22,1.28979
760.32,1.29007
760.42,1.26837
760.52,1.2408
760.62,1.22379
760.72,1.22883
760.82,1.24541
760.92,1.2457
761.02,1.20349
761.12,1.12203
761.22,1.03369
761.32,0.973099
761.42,0.952863
761.52,0.963769
761.62,0.99259
761.72,1.02937
761.82,1.06197
761.92,1.07754
762.02,1.07368
762.12,1.058
762.22,1.03423
762.32,0.999505
762.42,0.953279
762.52,0.903746
762.62,0.863819
762.72,0.841732
762.82,0.837486
762.92,0.84448
763.02,0.858228
763.12,0.866051
763.22,0.854942
763.32,0.832952
763.42,0.823754
763.52,0.843555
763.62,0.892059
763.72,0.949298
763.82,0.986796
763.92,0.981446
764.02,0.931889
764.12,0.854503
764.22,0.77599
764.32,0.722068
764.42,0.700816
764.52,0.702064
764.62,0.71569
764.72,0.73616
764.82,0.759196
764.92,0.784402
765.02,0.806832
765.12,0.825831
765.22,0.836482
765.32,0.82918
765.42,0.794727
765.52,0.732445
765.62,0.658339
765.72,0.592499
765.82,0.549887
765.92,0.549672
766.02,0.587836
766.12,0.635731
766.22,0.650438
766.32,0.604401
766.42,-999.25
766.52,-999.25
766.62,-999.25
766.72,-999.25
766.82,-999.25
766.92,0.604566
767.02,0.777141
767.12,0.90764
767.22,0.971966
767.32,0.969196
767.42,0.907335
767.52,0.802024
767.62,0.677813
767.72,0.561814
767.82,0.468777
767.92,0.415677
768.02,0.431351
768.12,0.531615
768.22,0.698006
768.32,0.873091
768.42,0.984417
768.52,0.987081
768.62,0.881733
768.72,0.710966
768.82,0.536285
768.92,0.41185
769.02,0.357976
769.12,0.350134
769.22,0.350182
769.32,0.332189
769.42,0.293333
769.52,0.251221
769.62,0.224317
769.72,0.226947
769.82,0.269642
769.92,0.363865
770.02,0.517114
770.12,0.718088
770.22,0.942327
770.32,1.15938
770.42,1.32999
770.52,1.40829
770.62,1.368
770.72,1.21544
770.82,0.985058
770.92,0.731534
771.02,0.50575
771.12,0.345748
771.22,0.276037
771.32,0.303748
771.42,0.424159
771.52,0.611839
771.62,0.826175
771.72,1.01097
771.82,1.11002
771.92,1.10057
772.02,1.01243
772.12,0.920983
772.22,0.89191
772.32,0.938613
772.42,1.02591
772.52,1.08666
772.62,1.07156
772.72,0.977392
772.82,0.837332
772.92,0.704407
773.02,0.623572
773.12,0.596391
773.22,0.594235
773.32,0.589229
773.42,0.573507
773.52,0.55216
773.62,0.534964
773.72,0.534172
773.82,0.560895
773.92,0.617157
774.02,0.69452
774.12,0.795386
774.22,0.955161
